"2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"AIG","HIG","HIG","AIG","AIG","AIG","AIG","HIG","HIG","GNW","HIG"
"AIG","HIG","HIG","AIG","GNW","AIG","AIG","HIG","HIG","GNW","HIG"
