"2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"JNJ","BMY","IPXL","BMY","VERU","VERU","LCI","PSDV","JNJ","PFE","BMY"
"JNJ","ENDP","IPXL","BMY","VERU","VERU","LCI","PSDV","JNJ","PFE","BMY"
