"2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"NRG","NRG","NRG","NRG","CPN","NEP","NEP","NEP","NEP","ORA","PEGI"
"NRG","NRG","NRG","NRG","NRG","NEP","NEP","NEP","NEP","ORA","PEGI"
