"2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"XOM","XOM","QEP","CVX","XOM","XOM","XOM","XOM","AE","TUSK","TUSK"
"XOM","XOM","XOM","CVX","XOM","XOM","XOM","XOM","AE","TUSK","TUSK"
