"2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"CLF","NEM","FCX","FCX","FCX","SLCA","CMP","NEM","CDE","CLF","FCX"
"CLF","NEM","FCX","FCX","FCX","SLCA","SLCA","NEM","CDE","CLF","FCX"
