"2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"AMT","AMT","AMT","YHOO","YHOO","CALL","YHOO","CALL","CMCSA","CMCSA","VZ"
"AMT","AMT","YHOO","YHOO","YHOO","CALL","YHOO","CALL","CMCSA","CMCSA","VZ"
