"2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"WY","RYN","RYN","SWM","SWM","SWM","WY","SWM","SWM","RYN","UFS"
"WY","RYN","UFS","SWM","SWM","SWM","WY","SWM","SWM","RYN","WY"
