"2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"VLO","HFC","HFC","HFC","HFC","HFC","VLO","HFC","VLO","HFC","HFC"
"VLO","INT","HFC","HFC","HFC","HFC","VLO","HFC","VLO","HFC","HFC"
