"2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"TXN","MCHP","NVEC","NVEC","NVEC","NVEC","NVEC","NVEC","NVEC","NVEC","NVDA"
"TXN","XLNX","NVEC","NVEC","NVEC","NVEC","NVEC","NVEC","NVEC","NVEC","NVDA"
