"x"
106004
100009
100003
100005
109001
106003
110001
104002
103002
104005
103005
103015
104001
103018
104006
102001
103004
110005
104003
100008
100001
101003
105001
106006
104004
106001
110007
102003
106011
104007
108001
106014
106002
101001
107002
101004
102002
106005
0
107004
111001
100010
103001
110003
107005
110004
102005
112001
107003
107006
100002
101002
103020
101005
103003
102004
105002
103011
100004
100006
107001
110002
103026
100012
100007
110006
104013
109002
102006
100011
103013
100013
