"2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"GOOG","SOHU","SOHU","FB","TZOO","FB","FB","FB","FB","FB","FB"
"GOOG","SOHU","SOHU","SOHU","TZOO","FB","FB","FB","FB","FB","FB"
