"2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"MCD","CMG","CMG","SBUX","CMG","CMG","CMG","CMG","SBUX","SBUX","SBUX"
"MCD","CMG","CMG","SBUX","CMG","CMG","CMG","SBUX","SBUX","SBUX","SBUX"
